Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0177643525771211,-0.000160993938675101,-0.0300835599325023,0,0,0,10.0323956886448,0.121481181408484,4.99832632722136E-06,0.00133215329818063,0.120564492716562,6.93637170319615E-07,0.225310260618626,0,0,0,0,0,0,package://urdfamrv2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdfamrv2/meshes/base_link.STL,,Motor Mount Plate-1;Motor Mount Plate-4;Electronics Main Plate-1;Electronics Main Plate-2;Top Side Plate-1;Top Side Plate-2;Front Cover V1-1;Roof-1;Lidar Plate-1;Bottom Test Plate-1;Bottom Test Plate-2;Electronics Assembly-1;Motor Assembly-6/1-5 Planetary Gearbox-1;Motor Assembly-6/57cme13.stp-1;Motor Assembly-6/Motor Gearbox Spacer-1;Motor Assembly-5/57cme13.stp-1;Motor Assembly-5/Motor Gearbox Spacer-1;Motor Assembly-5/1-5 Planetary Gearbox-1;Castor Wheel Assembly-7/Castor Plate-1;Castor Temp HB-15;Castor Temp HB-16;Castor Temp HB-14;Castor Temp HB-13;Castor Temp HB-12;Castor Wheel Assembly-6/Castor Plate-1;Castor Temp HB-11;Castor Temp HB-9;Castor Temp HB-10;Castor Wheel Assembly-8/Castor Plate-1;Castor Temp HB-6;Castor Temp HB-8;Castor Temp HB-5;Castor Temp HB-7;Castor Temp HB-3;Castor Temp HB-1;Castor Temp HB-2;Castor Wheel Assembly-9/Castor Plate-1;Castor Temp HB-4;CageV2-1;Reference-1;Base V2-1,Baselink CS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
linkfrontleft,0.00486777207299285,-1.00390112889315E-10,-0.00919906935736482,0,0,0,0.0145542102257426,1.09550256894124E-06,-4.9902635445605E-15,1.38605292642401E-07,8.15088209063063E-07,1.43312162943118E-13,1.39418606238894E-06,0,0,0,0,0,0,package://urdfamrv2/meshes/linkfrontleft.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://urdfamrv2/meshes/linkfrontleft.STL,,Castor Wheel Assembly-9/Wheel Holder-1;Castor Wheel Assembly-9/Wheel Pin-1,FL CS,FL,frontleftjoint,continuous,0.127476918751024,0.198968594229539,-0.1387,0,0,0,base_link,0,0,-1,1,1,,,,,,,,,,
linkfrontleftwheel,-2.77555756156289E-17,0,0,0,0,0,0.00860106805645204,5.60947696052157E-07,5.64114385290835E-23,7.24786767464638E-39,8.7056647481272E-07,2.58667410873886E-23,5.60947696052157E-07,0,0,0,0,0,0,package://urdfamrv2/meshes/linkfrontleftwheel.STL,1,1,1,1,0,0,0,0,0,0,package://urdfamrv2/meshes/linkfrontleftwheel.STL,,Castor Wheel Assembly-9/Castor Wheel-1,FLW CS,FLW,frontleftwheeljoint,continuous,0.0115,4.99999999999667E-05,-0.01975,0,0,0,linkfrontleft,0,-1,0,1,1,,,,,,,,,,
linkfrontright,0.00486777207299288,-1.00390112889315E-10,-0.00919906935736481,0,0,0,0.0145542102257426,1.09550256894124E-06,-4.99025010118564E-15,1.38605292642399E-07,8.1508820906306E-07,1.43312150820266E-13,1.39418606238894E-06,0,0,0,0,0,0,package://urdfamrv2/meshes/linkfrontright.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://urdfamrv2/meshes/linkfrontright.STL,,Castor Wheel Assembly-7/Wheel Holder-1;Castor Wheel Assembly-7/Wheel Pin-1,FR CS,FR,frontrightjoint,continuous,0.127476918751023,-0.199031405770461,-0.1387,0,0,0,base_link,0,0,-1,1,1,,,,,,,,,,
linkfrontrightwheel,-2.77555756156289E-17,0,1.73472347597681E-18,0,0,0,0.00860106805645204,5.60947696052158E-07,6.28709636152826E-23,-6.71159324065182E-24,8.7056647481272E-07,1.71740024517124E-24,5.60947696052158E-07,0,0,0,0,0,0,package://urdfamrv2/meshes/linkfrontrightwheel.STL,1,1,1,1,0,0,0,0,0,0,package://urdfamrv2/meshes/linkfrontrightwheel.STL,,Castor Wheel Assembly-7/Castor Wheel-1,FRW CS,FRW,frontrightweeljoint,continuous,0.0115,5.00000000000222E-05,-0.01975,0,0,0,linkfrontright,0,-1,0,1,1,,,,,,,,,,
linkrearleft,0.00486777207299278,-1.00390112889315E-10,-0.00919906935736473,0,0,0,0.0145542102257424,1.09550256894122E-06,-4.99025791376239E-15,1.38605292642382E-07,8.15088209063025E-07,1.4331215654502E-13,1.39418606238891E-06,0,0,0,0,0,0,package://urdfamrv2/meshes/linkrearleft.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://urdfamrv2/meshes/linkrearleft.STL,,Castor Wheel Assembly-8/Wheel Holder-1;Castor Wheel Assembly-8/Wheel Pin-1,RL CS,RL,rearleftjoint,continuous,-0.127523081248976,0.19896859422954,-0.1387,0,0,0,base_link,0,0,-1,1,1,,,,,,,,,,
linkrearleftwheel,1.38777878078145E-17,0,1.73472347597681E-18,0,0,0,0.00860106805645204,5.60947696052158E-07,6.61545791442258E-23,-6.76414505894308E-24,8.7056647481272E-07,1.51222004710173E-24,5.60947696052158E-07,0,0,0,0,0,0,package://urdfamrv2/meshes/linkrearleftwheel.STL,1,1,1,1,0,0,0,0,0,0,package://urdfamrv2/meshes/linkrearleftwheel.STL,,Castor Wheel Assembly-8/Castor Wheel-1,RLW CS,RLW,rearleftwheeljoint,continuous,0.0115,5.00000000000222E-05,-0.01975,0,0,0,linkrearleft,0,-1,0,1,1,,,,,,,,,,
linkrearright,0.00486777207299287,-1.00390168400466E-10,-0.00919906935736483,0,0,0,0.0145542102257427,1.09550256894126E-06,-4.99025430369156E-15,1.38605292642403E-07,8.15088209063071E-07,1.43312157945304E-13,1.39418606238896E-06,0,0,0,0,0,0,package://urdfamrv2/meshes/linkrearright.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://urdfamrv2/meshes/linkrearright.STL,,Castor Wheel Assembly-6/Wheel Holder-1;Castor Wheel Assembly-6/Wheel Pin-1,RR CS,RR,rearrightjoint,continuous,-0.127523081248977,-0.19903140577046,-0.1387,0,0,0,base_link,0,0,-1,1,1,,,,,,,,,,
linkrearrightwheel,-6.93889390390723E-17,-0.398,1.73472347597681E-18,0,0,0,0.00860106805645204,5.60947696052158E-07,6.61545791442258E-23,-6.76414505894308E-24,8.7056647481272E-07,1.51222004710173E-24,5.60947696052158E-07,0,0,0,0,0,0,package://urdfamrv2/meshes/linkrearrightwheel.STL,1,1,1,1,0,0,0,0,0,0,package://urdfamrv2/meshes/linkrearrightwheel.STL,,Castor Wheel Assembly-6/Castor Wheel-1,RLW CS,RRW,rearrightwheeljoint,continuous,0.0115000000000001,0.39805,-0.01975,0,0,0,linkrearright,0,-1,0,1,1,,,,,,,,,,
linkleftwheel,-1.95465918673215E-07,-0.0107995773104437,-2.31143510954629E-05,0,0,0,1.07359334471716,0.00132624792012178,1.34971364901024E-09,-2.97767681852217E-09,0.00242841647930193,1.84182544910959E-08,0.00132644709385717,0,0,0,0,0,0,package://urdfamrv2/meshes/linkleftwheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdfamrv2/meshes/linkleftwheel.STL,,Motor Assembly-5/Wheel Assembly-3/Wheel-1;Motor Assembly-5/Wheel Assembly-3/Wheel Fill-1;Motor Assembly-5/Wheel Assembly-3/Wheel Mount V3-1;Motor Assembly-5/Wheel Assembly-3/Wheel Mount Washer-1,Leftwheel CS,LW,leftwheeljoint,continuous,-2.30812489653795E-05,0.19996859422953,-0.0965,0,0,0,base_link,0,1,0,1,1,,,,,,,,,,
linkrightwheel,1.95465891785837E-07,0.0107995773104531,-2.31143510956919E-05,0,0,0,1.07359334471716,0.00132624792012178,1.34971364898648E-09,2.97767681852187E-09,0.00242841647930194,-1.84182544910958E-08,0.00132644709385718,0,0,0,0,0,0,package://urdfamrv2/meshes/linkrightwheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdfamrv2/meshes/linkrightwheel.STL,,Motor Assembly-6/Wheel Assembly-3/Wheel-1;Motor Assembly-6/Wheel Assembly-3/Wheel Mount V3-1;Motor Assembly-6/Wheel Assembly-3/Wheel Fill-1;Motor Assembly-6/Wheel Assembly-3/Wheel Mount Washer-1,Rightwheel CS,RW,rightwheeljoint,continuous,-2.30812489631387E-05,-0.20003140577047,-0.0964999999999999,0,0,0,base_link,0,-1,0,1,1,,,,,,,,,,
linklidar,-0.000934114123158664,-0.000257111559113189,-0.012214812339934,0,0,0,0.163065638152251,6.07268103362095E-05,1.10369384352206E-07,-2.32156900420164E-07,6.0437153377206E-05,-6.56085972110151E-08,0.000107589150508222,0,0,0,0,0,0,package://urdfamrv2/meshes/linklidar.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdfamrv2/meshes/linklidar.STL,,LIDAR.STEP-2,Lidar CS,Axis_lidarjoint,lidarjoint,fixed,0.239976918751023,-3.14057704717225E-05,0.00130000000000047,0,0,0,base_link,0,0,0,,,,,,,,,,,,
